Dataset,Model,Period,AUC,Time,Hyper
Backblaze,gbdt,13,0.9818820221199912,30.338896454999485,"{'booster': 'gbtree', 'learning_rate': 0.13215016288905057, 'max_depth': 8, 'n_estimators': 61, 'subsample': 0.8306059297001154}"
Backblaze,gbdt,14,0.986013047136888,30.47999720000007,"{'booster': 'gbtree', 'learning_rate': 0.8872755373614875, 'max_depth': 7, 'n_estimators': 91, 'subsample': 0.9288311078105176}"
Backblaze,gbdt,15,0.9687962278106509,33.538265777999186,"{'booster': 'gbtree', 'learning_rate': 0.1116326374413885, 'max_depth': 9, 'n_estimators': 16, 'subsample': 0.8505833486802602}"
Backblaze,gbdt,16,0.9618367346938774,23.444786406002095,"{'booster': 'dart', 'learning_rate': 0.4936566911693768, 'max_depth': 6, 'n_estimators': 64, 'subsample': 0.6285317573008017}"
Backblaze,gbdt,17,0.9467654169131431,48.514418181999645,"{'booster': 'dart', 'learning_rate': 0.3172320664551149, 'max_depth': 9, 'n_estimators': 15, 'subsample': 0.9048409363528117}"
Backblaze,gbdt,18,0.9400161878732344,41.46481720600059,"{'booster': 'gbtree', 'learning_rate': 0.8648081419867076, 'max_depth': 8, 'n_estimators': 49, 'subsample': 0.9902694133734546}"
Backblaze,gbdt,19,0.9076869806094182,59.351220625998394,"{'booster': 'gbtree', 'learning_rate': 0.9229215541893696, 'max_depth': 4, 'n_estimators': 40, 'subsample': 0.5016471152908275}"
Backblaze,gbdt,20,0.9638857428567602,55.616490011998394,"{'booster': 'dart', 'learning_rate': 0.09637365555729858, 'max_depth': 7, 'n_estimators': 83, 'subsample': 0.7734169700215102}"
Backblaze,gbdt,21,0.9644115316955149,71.06414013600079,"{'booster': 'gbtree', 'learning_rate': 0.49892726624318984, 'max_depth': 3, 'n_estimators': 97, 'subsample': 0.7324028365594245}"
Backblaze,gbdt,22,0.9452796720485162,68.76349128699803,"{'booster': 'dart', 'learning_rate': 0.19622671469825737, 'max_depth': 4, 'n_estimators': 58, 'subsample': 0.7390487317292038}"
Backblaze,gbdt,23,0.9569025642223195,74.46607457700156,"{'booster': 'dart', 'learning_rate': 0.8367871058846367, 'max_depth': 3, 'n_estimators': 73, 'subsample': 0.9894802000069901}"
Backblaze,gbdt,24,0.9690046629576304,65.03804274800132,"{'booster': 'gbtree', 'learning_rate': 0.9197457082250056, 'max_depth': 7, 'n_estimators': 12, 'subsample': 0.9137898056191955}"
Backblaze,gbdt,25,0.9735193141379385,39.25582952200057,"{'booster': 'gbtree', 'learning_rate': 0.7171089955311525, 'max_depth': 4, 'n_estimators': 64, 'subsample': 0.5158092384802032}"
Backblaze,gbdt,26,0.9630487641271452,116.84380014799899,"{'booster': 'gbtree', 'learning_rate': 0.9155589036266022, 'max_depth': 5, 'n_estimators': 79, 'subsample': 0.8064165206832135}"
Backblaze,gbdt,27,0.9176601520967451,133.93178763800097,"{'booster': 'gbtree', 'learning_rate': 0.086606879054666, 'max_depth': 8, 'n_estimators': 56, 'subsample': 0.780026935278604}"
Backblaze,gbdt,28,0.9272922766780607,108.69026375700196,"{'booster': 'dart', 'learning_rate': 0.10262323167670094, 'max_depth': 8, 'n_estimators': 93, 'subsample': 0.9712978904652598}"
Backblaze,gbdt,29,0.952457364008014,192.48905137199836,"{'booster': 'dart', 'learning_rate': 0.15960788974883322, 'max_depth': 8, 'n_estimators': 66, 'subsample': 0.8747645869986408}"
Backblaze,gbdt,30,0.9428993359263532,157.11833041000136,"{'booster': 'dart', 'learning_rate': 0.06642378086602528, 'max_depth': 9, 'n_estimators': 72, 'subsample': 0.8492635017880998}"
